Título,Preço,Classificação,Categoria
Crazy Rich Asians (Crazy Rich Asians #1),£49.13,Five,Fiction
Counting Thyme,£10.62,One,Childrens
Cosmos,£36.17,Two,Add a comment
Civilization and Its Discontents,£59.95,Two,Psychology
Cinder (The Lunar Chronicles #1),£26.09,One,Young Adult
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,£37.35,Two,Parenting
Career of Evil (Cormoran Strike #3),£24.72,Two,Mystery
Breaking Dawn (Twilight #4),£35.28,Five,Default
Brave Enough,£51.32,Five,Nonfiction
Boy Meets Boy,£21.12,Three,Young Adult
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35,Two,Nonfiction
Blink: The Power of Thinking Without Thinking,£21.74,Five,Nonfiction
Black Flags: The Rise of ISIS,£40.87,One,Nonfiction
"Black Butler, Vol. 1 (Black Butler #1)",£49.31,One,Sequential Art
Big Little Lies,£22.11,One,Fiction
Between Shades of Gray,£20.79,Five,Historical Fiction
Best of My Love (Fool's Gold #20),£27.41,Two,Romance
Beowulf,£38.35,Two,Classics
Beautiful Creatures (Caster Chronicles #1),£21.55,Five,Default
Awkward,£38.02,Two,Sequential Art
Ash,£22.06,Four,Fantasy
Are We There Yet?,£10.66,Three,Childrens
Are We Smart Enough to Know How Smart Animals Are?,£56.58,One,Nonfiction
Annie on My Mind,£36.83,Five,Young Adult
And Then There Were None,£35.01,Two,Classics
A Walk in the Woods: Rediscovering America on the Appalachian Trail,£30.48,Four,Nonfiction
A Visit from the Goon Squad,£14.08,Five,Default
A Storm of Swords (A Song of Ice and Fire #3),£31.22,Two,Fantasy
A Heartbreaking Work of Staggering Genius,£54.29,Five,Autobiography
8 Keys to Mental Health Through Exercise,£31.04,One,Psychology
#GIRLBOSS,£50.96,One,Add a comment
"The Suffragettes (Little Black Classics, #96)",£11.89,Two,Nonfiction
The Sense of an Ending,£31.38,Three,Add a comment
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",£54.81,One,Sequential Art
The Course of Love,£16.78,Three,Fiction
Sugar Rush (Offensive Line #2),£24.42,One,Sports and Games
"Saga, Volume 2 (Saga (Collected Editions) #2)",£11.75,Three,Sequential Art
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,One,Philosophy
New Moon (Twilight #2),£12.86,Four,Young Adult
Life,£31.58,Five,Music
Kindle Paperwhite User's Guide,£34.00,Three,Nonfiction
H is for Hawk,£57.42,Five,Nonfiction
Girl Online On Tour (Girl Online #2),£53.47,One,Young Adult
"Fruits Basket, Vol. 2 (Fruits Basket #2)",£11.64,Five,Sequential Art
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),£52.88,Four,Childrens
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",£18.51,Four,Sequential Art
While You Were Mine,£41.32,Five,Historical Fiction
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,Romance
When I'm Gone,£51.96,Three,Fiction
Ways of Seeing,£39.51,Five,Art
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40,One,Paranormal
Vampire Girl (Vampire Girl #1),£53.82,Two,Fantasy
Twenty Love Poems and a Song of Despair,£30.95,Four,Poetry
Travels with Charley: In Search of America,£57.82,Five,Nonfiction
Three Wishes (River of Time: California #1),£44.18,Two,Science Fiction
This One Moment (Pushing Limits #1),£48.71,One,Romance
The Zombie Room,£19.69,Five,Default
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",£36.52,Two,Sequential Art
The Tumor,£41.56,Five,Nonfiction
The Story of Hong Gildong,£43.19,Four,Classics
The Silent Wife,£12.34,Five,Fiction
The Silent Twin (Detective Jennifer Knight #3),£36.25,Three,Fantasy
The Selfish Gene,£29.45,One,Science
The Secret Healer,£34.56,Three,Historical Fiction
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",£54.12,Three,Sequential Art
The Republic,£33.78,Three,Add a comment
The Odyssey,£29.64,Three,Add a comment
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,Mystery
The Nicomachean Ethics,£36.34,One,Philosophy
The Name of the Wind (The Kingkiller Chronicle #1),£50.59,Three,Default
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,One,Fantasy
The Little Prince,£45.42,Two,Classics
The Light of the Fireflies,£54.43,One,Add a comment
The Last Girl (The Dominion Trilogy #1),£36.26,Two,Science Fiction
The Iliad,£16.16,One,Add a comment
The Hook Up (Game On #1),£36.29,Five,New Adult
The Haters,£27.89,Five,Young Adult
The Girl You Lost,£12.29,Five,Mystery
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,Mystery
The End of the Jesus Era (An Investigation #1),£14.40,One,Nonfiction
The Edge of Reason (Bridget Jones #2),£19.18,Four,Womens Fiction
The Complete Maus (Maus #1-2),£10.64,Three,Sequential Art
The Communist Manifesto,£14.76,Three,Add a comment
The Bhagavad Gita,£57.49,Three,Religion
The Bette Davis Club,£30.66,Three,Fiction
The Art of Not Breathing,£40.83,Four,Young Adult
Taking Shots (Assassins #1),£18.88,Two,Default
Starlark,£25.83,Three,Historical Fiction
"Skip Beat!, Vol. 01 (Skip Beat! #1)",£42.12,Three,Sequential Art
Sister Sable (The Mad Queen #1),£13.33,Three,Fantasy
Shatter Me (Shatter Me #1),£42.40,One,Default
Shameless,£58.35,Three,New Adult
Shadow Rites (Jane Yellowrock #10),£21.72,Four,Fantasy
Settling the Score (The Summer Games #1),£44.91,Two,Sports and Games
Sense and Sensibility,£37.46,One,Classics
"Saga, Volume 1 (Saga (Collected Editions) #1)",£28.48,One,Sequential Art
"Rhythm, Chord & Malykhin",£28.34,Two,Romance
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96,Five,Sequential Art
Paradise Lost (Paradise #1),£24.96,One,Default
"Paper Girls, Vol. 1 (Paper Girls #1-5)",£21.71,Four,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",£29.87,Three,Sequential Art
Origins (Alphas 0.5),£28.99,One,Fantasy
One Second (Seven #7),£52.94,Two,Fantasy
On the Road (Duluoz Legend),£32.36,Three,Default
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,Two,Music
Off Sides (Off #1),£39.45,Five,New Adult
Of Mice and Men,£47.11,Two,Classics
Myriad (Prentor #1),£58.75,Four,Fantasy
My Perfect Mistake (Over the Top #1),£38.92,Two,Romance
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39,Four,Sequential Art
Meditations,£25.89,Two,Philosophy
Matilda,£28.34,One,Childrens
Lost Among the Living,£27.70,Four,Historical Fiction
Lord of the Flies,£24.89,Three,Add a comment
Listen to Me (Fusion #1),£58.99,Three,Romance
Kitchens of the Great Midwest,£57.20,Five,Fiction
Jane Eyre,£38.43,Five,Default
Imperfect Harmony,£34.74,Four,Romance
Icing (Aces Hockey #2),£40.44,Four,Sports and Games
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24,Three,Sequential Art
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,Four,Science Fiction
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76,Four,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28,Five,Sequential Art
Frankenstein,£38.00,Two,Default
Forever Rockers (The Rocker #12),£28.80,Three,Music
Fighting Fate (Fighting #6),£39.24,Three,Romance
Emma,£32.93,Two,Classics
"Eat, Pray, Love",£51.32,Three,Nonfiction
Deep Under (Walker Security #1),£47.09,Five,Romance
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,Four,Religion
Charlie and the Chocolate Factory (Charlie Bucket #1),£22.85,Three,Childrens
Charity's Cross (Charles Towne Belles #4),£41.24,One,Romance
Bright Lines,£39.07,Five,Fiction
Bridget Jones's Diary (Bridget Jones #1),£29.82,One,Womens Fiction
Bounty (Colorado Mountain #7),£37.26,Four,Romance
Blood Defense (Samantha Brinkman #1),£20.30,Three,Mystery
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,Five,Sequential Art
Beyond Good and Evil,£43.38,One,Philosophy
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,One,Classics
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06,Four,Sequential Art
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,Historical Fiction
1st to Die (Women's Murder Club #1),£53.98,One,Mystery
"1,000 Places to See Before You Die",£26.08,Five,Travel
